ano,bairro,dia,local,mes,referencia,sentido
2004,Freguesia do Ó,04,MARGINAL TIETÊ,11,PTE. DO PIQUERI,AS/CB EXP
2004,Santana,04,AV. OLAVO FONTOURA,11,ALTURA DO N. 1209,AMBOS
2004,Santana,04,R. EUDORO LEMOS DE OLIVEIRA,11,AV. CRUZEIRO DO SUL,AMBOS
2004,Santana,04,MARGINAL TIETE,11,PTE CRUZEIRO DO SUL - ALÇA DE SÁIDA,AS/CB LOCAL
2004,Sé,04,AV. VINTE E TRES DE MAIO,11,R. RIACHUELO,B/C
2004,Sé,04,AV. NOVE DE JULHO,11,R. SAMUEL DAS NEVES,B/C
2004,Sé,04,VD. LESTE-OESTE,11,VD. DO GLICERIO,LA/PE
2004,Sé,04,PC. DA BANDEIRA,11,VD. DR EUSEBIO STEVAUX,AMBOS
2004,Sé,04,AV. VINTE E TRES DE MAIO,11,SAIDA DA LIGAÇÃO LA/PE,C/B
2004,Sé,04,R. DA CANTAREIRA,11,PTE. FEPASA,ÚNICO
2004,Sé,04,AV. DO ESTADO,11,PTE. FEPASA,IP/ST
2004,Sé,04,R. MUNIZ DE SOUZA,11,R. DR. DARIO DO AMARAL,B/C
2004,Sé,04,R. SERGIO TOMAS,11,MARGINAL TT C/A LOCAL,B/C
2004,Sé,04,PC. MIGUEL FORTE,11,ACESSO MARGINAL TT C/A LOCAL,UNICO
2004,Butantã,04,AV. EUSEBIO MATOSO,11,PC. JORGE DE LIMA,C/B
2004,Butantã,04,PTE. BERNARDO GOLDFARB,11,AV. VITAL BRASIL - ACESSO,C/B
2004,Butantã,04,R. CAMARGO,11,PC. VICENTE RODRIGUES,UNICO
2004,Butantã,04,MARGINAL PINHEIROS,11,PTE. ENG ARY TORRES - 600M APÓS,CB/INT LOCAL
2004,Butantã,04,MARGINAL PINHEIROS,11,PTE. ENG ARY TORRES - 800M APÓS,CB/INT LOCAL
2004,Lapa,04,R. DO BOSQUE,11,R. JOAQUIM MANUEL DE MACEDO,ÚNICO
2004,Lapa,04,AV. FRANCISCO MATARAZZO,11,R. MIN. GODOI,B/C
2004,Lapa,04,AV. MARQ DE SAO VICENTE,11,R. JOAQUIM MANUEL DE MACEDO,AMBOS
2004,Lapa,04,R. GUAICURUS,11,R. CAIO GRACO,UNICO
2004,Pinheiros,04,AV. CIDADE JARDIM,11,R. BRIG HAROLDO VELOSO,B/C
2004,Pinheiros,04,TN. MAX FEFFER,11,EMBOQUE DO MESMO,C/B
2004,Pinheiros,04,MARGINAL PINHEIROS,11,R. SUMIDOURO,INT/CB LOCAL
2004,Pinheiros,04,AV. DR ARNALDO,11,R. TEODORO SAMPAIO,SU/CO
2004,Pinheiros,04,AV. EUSEBIO MATOSO,11,PASSARELA DO UNIBANCO,C/B
2004,Pinheiros,04,R. JOHN HARRISON,11,PC. RENE BARRETO,ÚNICO
2004,Pinheiros,04,PC. PAN - AMERICANA,11,AV. PEDROSO DE MORAIS,B/C
2004,Pinheiros,04,MARGINAL PINHEIROS,11,PTE. ENG ARY TORRES - 500M ANTES,INT/CB EXP
2004,Aricanduva/ Vila Formosa,04,AV. ARICANDUVA,11,R. BAQUIA - 150M APÓS,MARG/IQ - EXP
2004,Penha,04,VD. ENG ALBERTO BADRA,11,INÍCIO DO MESMO - 10M APÓS,IQ/MARG
2004,Vila Prudente,04,VD. JOSE COLASSUONO,11,VD GRANDE SÃO PAULO - SAÍDA,B/C
2004,Vila Prudente,04,AV. PROF LUIZ IGNACIO ANHAIA MELLO,11,R. DIANOPOLIS,VP/SAP
2004,Capela do Socorro,04,AV. GUARAPIRANGA,11,LG. DO SOCORRO,B/C
2004,M'Boi Mirim,04,AV. MARIA COELHO AGUIAR,11,PTE. JOAO DIAS,C/B
2004,Santo Amaro,04,AV. STO AMARO,11,R. AFONSO BRAZ,B/C
2004,Ipiranga,04,R. DR MARIO VICENTE,11,AV.RICARDO JAFET,AMBOS
2004,Ipiranga,04,AV. DR RICARDO JAFET,11,R. PAULO BREGARO,AMBOS
2004,Ipiranga,04,AV. PRES TANCREDO NEVES,11,CV. ESCOLA DE ENGENHARIA MACKENZIE,IMIG/ANCH
2004,Ipiranga,04,AV. PRES WILSON,11,R. DOM MARCOS TEIXEIRA,AMBOS
2004,Ipiranga,04,AV. ALM. DELAMARE,11,ALTURA DO N. 2911,B/C
2004,Vila Mariana,04,AV. VINTE E TRES DE MAIO,11,R. GAL EUCLIDES FIGUEIREDO,C/B
2004,Sé,07,R. WASHINGTON LUIS,11,R. BRIG. TOBIAS,ÚNICO
2004,Butantã,10,AV. EUSÉBIO MATOSO,11,PC JORGE DE LIMA,C/B
2004,Pinheiros,10,AV. HÉLIO PELLEGRINO,11,R. UBERABINHA,C/B
2004,Capela do Socorro,10,AV. INTERLAGOS,11,R. ENG. DAGOBERTO SALLES FILHO,C/B
2004,Santana,11,PTE. CRUZEIRO DO SUL,11,ALÇA DE SAIDA LOCAL,B/C
2004,Santana,11,MARGINAL TIETÊ,11,PTE. CRUZEIRO DO SUL,AS/CB LOCAL
2004,Butantã,11,MARGINAL PINHEIROS,11,PTE. ENG ARY TORRES - ACESSO,CB/INT LOCAL
2004,Butantã,11,R. ALVES DOS SANTOS,11,R. PROF INDALECIO DE MELO,B/C
2004,Lapa,11,MARGINAL PINHEIROS,11,PTE. JAGUARE - 1200M ANTES,CB/INT LOCAL
2004,Pinheiros,11,AV. NOVE DE JULHO,11,AV. CIDADE JARDIM,C/B
2004,Pinheiros,11,MARGINAL PINHEIROS,11,PTE. ENG ARY TORRES - 200M ANTES,INT/CB EXP
2004,Pinheiros,11,AV. DO ANASTACIO,11,ALTURA DO N. 547,AMBOS
2004,Mooca,11,VD. BRESSER,11,NO FINAL DO MESMO,MO/BRAS
2004,M'Boi Mirim,11,AV. MARIA COELHO AGUIAR,11,PTE. JOAO DIAS - 50M APÓS,C/B
2004,Santo Amaro,11,MARGINAL PINHEIROS,11,R. AMERICO BRASILIENSE,INT/CB LOCAL
2004,Santo Amaro,11,MARGINAL PINHEIROS,11,R. DA PAZ,INT/CB LOCAL
2004,Santo Amaro,11,MARGINAL PINHEIROS,11,R. ALCIDES LOURENCO DA ROCHA,INT/CB LOCAL
2004,Ipiranga,11,R. BOM PASTOR,11,ALTURA DO N. 1061,C/B
2004,Santana,15,R. DARZAN,11,AV. CRUZEIRO DO SUL,C/B
2004,Santana,15,PTE. CRUZEIRO DO SUL,11,ALÇA DE ACESSO LOCAL,C/B
2004,Butantã,15,AV. EUSEBIO MATOSO,11,PC. JORGE DE LIMA,C/B
2004,Aricanduva/ Vila Formosa,15,VEL. ARICANDUVA,11,INICIO DO MESMO,IQ/MARG
2004,Itaim Paulista,15,AV. MAL. TITO,11,R. VALDOMIRO GONZAGA SILVA,AMBOS
2004,Penha,15,AV. RADIAL LESTE-OESTE,11,ACESSO AO ELEVADO ARICANDUVA,B/C
2004,Campo Limpo,15,R. ALVES DOS SANTOS,11,R. PROF INDALECIO DE MELO,UNICO
2004,Capela do Socorro,15,AV. ROBERT KENNEDY,11,LG. DO SOCORRO,B/C
2004,Ipiranga,15,AV. DOM PEDRO I,11,R. MARIANO PROCOPIO,C/B
2004,Ipiranga,15,AV. DR RICARDO JAFET,11,R. CEL DIOGO,STOS/SP
2004,Ipiranga,15,AV. JUNTAS PROVISORIAS,11,AV. ALM. DELAMARE,IP/VP
2004,Casa Verde,16,R. VINTE E OITO DE JANEIRO,11,ALTURA DO N. 69,AMBOS
2004,Vila Maria/ Vila Guilherme,16,AV. ZAKI NARCHI,11,AV. OTTO BAUMGART,C/B
2004,Vila Maria/ Vila Guilherme,16,R. CHICO PONTES,11,R. IDA DA SILVA,C/B
2004,Santana,16,AV. CRUZEIRO DO SUL,11,ALTURA DO N. 1800,C/B
2004,Butantã,16,AV. EUSEBIO MATOSO,11,PC. ANTONIO SABINO,C/B
2004,Lapa,16,MARGINAL TIETE,11,PTE ULISSES GUIMARAES - 50M ANTES,AS/CB EXP
2004,Lapa,16,MARGINAL PINHEIROS,11,AV. DRACENA,CB/INT LOCAL
2004,Pinheiros,16,MARGINAL PINHEIROS,11,PTE. EUSEBIO MATOSO - 300M ANTES,INT/CB LOCAL
2004,Pinheiros,16,MARGINAL PINHEIROS,11,PTE. DO MORUMBI - 600M ANTES,INT/CB LOCAL
2004,Aricanduva/ Vila Formosa,16,VD. ENG ALBERTO BADRA,11,INICIO <-> JULIO COLAÇO,IQ/MARG
2004,Ermelino Matarazzo,16,AV. SÃO MIGUEL,11,AV. DR CUSTODIO DE LIMA,AMBOS
2004,Itaquera,16,R. DR LUIZ AYRES,11,METRO ITAQUERA,C/B
2004,Vila Prudente,16,AV. PROF LUIZ IGNACIO ANHAIA MELLO,11,AV. DR FRANCISCO MESQUITA,SAP/VP
2004,Campo Limpo,16,AV. MARIA COELHO AGUIAR,11,PC. ALCEU AMOROSO LIMA,C/B
2004,Campo Limpo,16,R. ALVES DOS SANTOS,11,R. PROF INDALECIO DE MELO,UNICO
2004,Campo Limpo,16,AV. MARIA COELHO AGUIAR,11,PTE. JOAO DIAS - 50M APÓS,C/B
2004,Capela do Socorro,16,AV. GUARAPIRANGA,11,LG. DO SOCORRO,B/C
2004,Santo Amaro,16,AV. DAS NACOES UNIDAS,11,R. PROF CAMPOS DE OLIVEIRA,B/C
2004,Santo Amaro,16,MARGINAL PINHEIROS,11,PTE. JOÃO DIAS - 150M ANTES,INT/CB LOCAL
2004,Santo Amaro,16,MARGINAL PINHEIROS,11,R. VERBO DIVINO,INT/CB LOCAL
2004,Santo Amaro,16,MARGINAL PINHEIROS,11,R. AMERICO BRASILIENSE,INT/CB LOCAL
2004,Santo Amaro,16,MARGINAL PINHEIROS,11,R. DA PAZ,INT/CB LOCAL
2004,Ipiranga,16,AV. JUNTAS PROVISORIAS,11,AV. ALM DELAMARE,IP/VP
2004,Vila Mariana,16,R. VERGUEIRO,11,AV. DR RICARDO JAFET,B/C
2004,Sé,17,R. DO BOSQUE,11,ALTURA DO N. 1493,UNICO
2004,Campo Limpo,17,AV. JOAO DIAS,11,AV. GUIDO CALOI,B/C
2004,Butantã,19,AV. EUSEBIO MATOSO,11,PC. JORGE DE LIMA,C/B
2004,Butantã,19,AV. VITAL BRASIL,11,PC. JORGE DE LIMA,B/C
2004,São Mateus,19,AV. ARICANDUVA,11,AV. AFONSO DE SAMPAIO E SOUZA,IQ/MARG
2004,M'Boi Mirim,19,AV. MARIA COELHO AGUIAR,11,PC. ALCEU AMOROSO LIMA,C/B
2004,Sé,27,AV. PRESTES MAIA,11,PASSARELA DAS NOIVAS,ST/AER
2004,Sé,27,TN. ANHANGABAÚ,11,,AMBOS
2004,Sé,27,AV. NOVE DE JULHO,11,PC. QUATORZE BIS,B/C
2004,Sé,27,AV. NOVE DE JULHO,11,ALTURA DO N. 695,B/C
2004,Sé,27,R. TEIXEIRA LEITE,11,R. SÃO PAULO,CRUZAMENTO
2004,Sé,27,VD. EUSÉBIO STEVAUX,11,PC. DA BANDEIRA,B/C
2004,Butantã,27,AV. ALVARENGA,11,PC PAN-AMERICANA,B/C
2004,Lapa,27,AV. IMPERATRIZ LEOPOLDINA,11,AV. MOFARREJ,AMBOS
2004,Lapa,27,R. BR. DO BANANAL,11,R. VENÂNCIO AIRES,AMBOS
2004,Lapa,27,AV. DR. GASTÃO VIDIGAL,11,VD. MOFARREJ,LA/PI
2004,Pinheiros,27,TN. JORN. FERNANDO VIEIRA DE MELLO,11,,AMBOS
2004,Pinheiros,27,AV. REBOUÇAS,11,R. HENRIQUE SCHAUMANN,C/B
2004,Pinheiros,27,AV. EUSÉBIO MATOSO,11,R. CARDEAL ARCOVERDE,C/B
2004,Pinheiros,27,R. CANADÁ,11,AV. BRASIL,CRUZAMENTO
2004,Aricanduva/ Vila Formosa,27,AV. ARICANDUVA,11,R. MANILHA/R.TUMUCUMAQUE,MARG/IQ
2004,Aricanduva/ Vila Formosa,27,AV. ARICANDUVA,11,AV. ITAQUERA,MARG/IQ
2004,Aricanduva/ Vila Formosa,27,AV. ARICANDUVA,11,R. CEL. AMARO SOBRINHO,MARG/IQ - LOCAL
2004,Mooca,27,AV. DO ESTADO,11,AV. ARNO,IP/ST
2004,Mooca,27,AV. ALCÂNTARA MACHADO,11,R. JOÃO TOBIAS,C/B
2004,Vila Prudente,27,AV. PROF. LUIZ IGNÁCIO DE ANHAIA MELLO,11,VD. GRANDE SÃO PAULO,VP/SP
2004,Ipiranga,27,AV. DR. RICARDO JAFET,11,R. MONT`ALVERNE / PC. MONUMENTO,STOS/SP
2004,Vila Mariana,27,AV. PROF. ABRAÃO DE MORAIS,11,R. IBIRAREMA / AV. MIGUEL ESTEFANO,SP/STOS
2004,Vila Mariana,27,AV. PROF. ABRAÃO DE MORAIS,11,R. ELISA DA SILVEIRA,SP/STOS
2004,Vila Mariana,27,AV. VINTE E TRÊS DE MAIO,11,VD. GAL. EUCLIDES DE FIGUEIREDO,AMBOS
2004,Casa Verde,28,MARGINAL TIETE,11,R. JOSE AMATO - 100M ANTES,AS/CB  LOCAL
2004,Pirituba/Jaraguá,28,AV. DO ANASTACIO,11,ALTURA DO N. 380 ATÉ 520,AMBOS
2004,Santana,28,MARGINAL TIETÊ,11,R. PROF MILTON RODRIGUES - 100M APÓS,AS/CB  LOCAL
2004,Sé,28,AV. DO ESTADO,11,VD. VINTE E CINCO DE MARCO,ST/IP
2004,Sé,28,AV. VINTE E TRES DE MAIO,11,PC. DA BANDEIRA,C/B
2004,Sé,28,TN. ANHANGABAU,11,,AMBOS
2004,Sé,28,MARGINAL TIETE,11,PTE. CRUZEIRO DO SUL,CB/AS  EXPRESSA
2004,Butantã,28,AV. VITAL BRASIL,11,PC. JORGE DE LIMA,B/C
2004,Butantã,28,AV. EUSEBIO MATOSO,11,PC. JORGE DE LIMA,C/B
2004,Butantã,28,AV. PROF FRANCISCO MORATO,11,PC. PAULA MOREIRA,B/C
2004,Lapa,28,MARGINAL TIETE,11,PTE. DOS REMÉDIOS - 50M ANTES,AS/CB LOCAL
2004,Lapa,28,R. DOM PEDRO HENRIQUE DE O.E BRAGANCA,11,ALTURA DO N. 170,AMBOS
2004,Lapa,28,R. TURIASSU,11,PC. MARREY JUNIOR,UNICO
2004,Lapa,28,AV. SUMARE,11,PC. MARREY JUNIOR / R. DR. HOMEM DE MELLO,AMBOS
2004,Lapa,28,AV. MOFARREJ,11,ALTURA DO N. 500,AMBOS
2004,Pinheiros,28,MARGINAL PINHEIROS,11,300 M APÓS PTE FEPASA,CB/INT TRANSP EXP/LOC
2004,Pinheiros,28,AV. EUSÉBIO MATOSO,11,R. BALTAZAR CARRASCO,C/B
2004,Pinheiros,28,MARGINAL PINHEIROS,11,PTE. DA CIDADE JARDIM,INT/CB  LOCAL
2004,Aricanduva/ Vila Formosa,28,R. IEMANJA,11,TODA EXTENSÃO,AMBOS
2004,Aricanduva/ Vila Formosa,28,R. OTAVIO VASCO DO NASCIMENTO,11,400M EXTENSÃO,AMBOS
2004,Aricanduva/ Vila Formosa,28,AV. ARICANDUVA,11,R. TUMUCUMAQUE,MARG/IQ - EXP
2004,Aricanduva/ Vila Formosa,28,AV. ARICANDUVA,11,AV. DALILA,MARG/IQ
2004,Aricanduva/ Vila Formosa,28,AV. ARICANDUVA,11,R. TUMUCUMAQUE,MARG/IQ
2004,Aricanduva/ Vila Formosa,28,AV. ARICANDUVA,11,R. MANILHA,MARG/IQ
2004,Aricanduva/ Vila Formosa,28,R. FORTUNA DE MINAS,11,AV. ARICANDUVA,B/C
2004,Aricanduva/ Vila Formosa,28,AV. ITAQUERA,11,AV. ARICANDUVA,B/C
2004,Itaquera,28,AV. ARICANDUVA,11,AV. AFONSO DE SAMPAIO E SOUSA,IQ/MARG
2004,Itaquera,28,AV. ARICANDUVA,11,AV. ITAQUERA,IQ/MARG
2004,Mooca,28,AV. ALCÂNTARA MACHADO,11,ALTURA DO N. 60,C/B
2004,Mooca,28,AV. RADIAL LESTEOESTE,11,VD. GUADALAJARA,B/C  EXP
2004,Mooca,28,AV. SALIM FARAH MALUF,11,ALÇA DE ACESSO P/ RADIAL,MARG/VP
2004,Mooca,28,AV. AIRTON PRETINI,11,R. FREI BERTOLDO,CRUZAMENTO
2004,Mooca,28,R. RETIRO,11,R. ADELINO DE ALMEIDA CASTILHO,C/B
2004,Mooca,28,AV. ARMANDO CARDOSO ALVES,11,AV. AIRTON PRETINI,C/B
2004,Penha,28,VD. LESTE-OESTE,11,VD. DO GLICÉRIO,PE/LA
2004,Penha,28,AV. RADIAL LESTE-OESTE,11,VD. ENG ALBERTO BADRA,B/C
2004,Vila Prudente,28,AV. DR FRANCISCO MESQUITA,11,SOB VDTO GRANDE SÃO PAULO,C/B
2004,Vila Prudente,28,AV. PROF LUIZ IGNACIO ANHAIA MELLO,11,R. AMERICO VESPUCCI,VP/SAP
2004,Vila Prudente,28,AV. SALIM FARAH MALUF,11,AV. PROF LUIZ IGNACIO ANHAIA MELLO,MARG/VP
2004,Santo Amaro,28,PTE. DO MORUMBI,11,200M APÓS O INÍCIO,B/C
2004,Santo Amaro,28,MARGINAL PINHEIROS,11,PTE. DO SOCORRO - 800M ANTES,INT/CB
2004,Santo Amaro,28,MARGINAL PINHEIROS,11,PTE. JOAO DIAS,INT/CB  LOCAL
2004,Santo Amaro,28,MARGINAL PINHEIROS,11,PTE. ENG ARY TORRES - 200M ANTES,INT/CB  EXP
2004,Ipiranga,28,R. DR MARIO VICENTE,11,AV. DR RICARDO JAFET,CRUZAMENTO
2004,Ipiranga,28,AV. DR RICARDO JAFET,11,PC DO MONUMENTO,STOS/SP
2004,Ipiranga,28,AV. DR RICARDO JAFET,11,R. CEL DIOGO,SP/STOS
2004,Vila Mariana,28,AV. DR RICARDO JAFET,11,VD. SAIOA,SP/STOS
2004,Freguesia do Ó,03,"MARG. TIETÊ-PST. LOCAL,",12,PONTE DO LIMÃO - 300 METROS APÓS,AS/CB
2004,Freguesia do Ó,03,MARGINAL TIETE,12,PTE FREGUESIA DO O - 400M APÓS - EXP,AS/CB
2004,Vila Maria/ Vila Guilherme,03,AV. CRUZEIRO DO SUL,12,ALÇA DE ACESSO PONTE MG TIETÊ,C/B
2004,Vila Maria/ Vila Guilherme,03,"MARGINAL TIETE - EXPRESSA ,",12,AV. CRUZEIRO DO SUL,AS/CB
2004,Sé,03,"VD. LESTE-OESTE,",12,AV. 23 DE MAIO,AMBOS
2004,Sé,03,AV. DO ESTADO,12,VD. VINTE E CINCO DE MARCO,ST/IP
2004,Lapa,03,AV. JOHN HARRISON,12,R. DOMINGOS RODRIGUES,ÚNICO
2004,Pinheiros,03,AV. EUSÉBIO MATOSO,12,PC. ANTONIO SABINO - 50M ANTES,C/B
2004,Pinheiros,03,AV. EUSEBIO MATOSO,12,PC. ANTONIO SABINO - 50 m ANTES,C/B
2004,Mooca,03,AV. INTERLAGOS,12,R. ENG. DAGOBERTO SALLES FILHO,C/B
2004,Mooca,03,VD. BRESSER,12,FINAL DO MESMO,MO/BRÁZ
2004,Mooca,03,"AV. ALCANTRA MACHADO,",12,R. JOÃO TOBIAS,C/B
2004,Mooca,03,AV. RANGEL PESTANA,12,R. GOMES CARDIN,AMBOS
2004,Mooca,03,"AV. CELSO GARCIA,",12,R. FILIPE CAMARÃO - AV. SALIN FARAH MALUF,C/B
2004,Mooca,03,AV. CELSO GARCIA,12,R. PIMENTA BUENO - AV. ALVARO RAMOS,C/B
2004,Mooca,03,"AV. CELSO GARCIA, 3390",12,,C/B
2004,Mooca,03,"AV. CELSO GARCIA, 1310",12,,C/B
2004,Mooca,03,AV. CELSO GARCIA,12,R. JOLI,B/C
2004,Penha,03,ELEVADO  ARICANDUVA,12,NO INÍCIO,IQ/MARG
2004,Campo Limpo,03,AV. JOAO DIAS,12,ALTURA DO N. 2426,C/B
2004,Campo Limpo,03,AV. MARIA COELHO DE AGUIAR,12,PC. ALCEU AMOROSO LIMA,B/C
2004,Campo Limpo,03,AV. JOAO DIAS,12,ACESSO A MARGINAL,C/B
2004,Campo Limpo,03,AV. MARIA COELHO AGUIAR,12,PTE. JOAO DIAS,C/B
2004,Campo Limpo,03,"EST. DO CAMPO LIMPO,",12,R. QUNITO MIYASAKA,B/C
2004,Santo Amaro,03,AV. DR CHUCRI ZAIDAN,12,R. BALTAZAR FERNANDES,MOR/BAND
2004,Ipiranga,03,AV. DR RICARDO JAFET,12,R. PAULO BREGARO-PÇA DO MONUMENTO,STOS/SP
2004,Vila Mariana,03,AV. IBIRAPUERA,12,AV. JANDIRA,B/C
2004,Vila Mariana,03,"AV. 23 DE MAIO,",12,R. MAESTRO CARDIM,C/B
2004,Sé,04,AV. DO ESTADO,12,VD. VINTE E CINCO DE MARCO,ST/IP
2004,Mooca,04,VEL. ARICANDUVA,12,,IQ/MARG
2004,Mooca,04,VD. LESTEOESTE,12,AV. VINTE E TRES DE MAIO,AMBOS
2004,Vila Mariana,04,AV. VINTE E TRES DE MAIO,12,R. MAEST CARDIM,C/B
2004,Santana,05,MARGINAL TIETE,12,PTE. CRUZEIRO DO SUL,CAS/CB AUXILIAR
2004,Santana,05,MARGINAL TIETE,12,PTE. CRUZEIRO DO SUL,AS/CB  AUXILIAR
2004,Santana,05,AV. CRUZEIRO DO SUL,12,R. STA EULALIA,B/C
2004,Santana,05,R. DR ZUQUIM,12,R. CONS SARAIVA,UNICO
2004,Butantã,05,AV. DOS TAJURAS,12,PC. PROF AMERICO DE MOURA,CRUZAMENTO
2004,Butantã,05,R. CAMARGO,12,PC. VICENTE RODRIGUES,CRUZAMENTO
2004,Butantã,05,AV. EUSEBIO MATOSO,12,PC. JORGE DE LIMA,CRUZAMENTO
2004,Butantã,05,MARGINAL PINHEIROS,12,PTE. FEPASA,CB/INT  LOCAL
2004,Lapa,05,AV. FRANCISCO MATARAZZO,12,R. DONA GERMAINE BURCHARD,B/C
2004,Lapa,05,AV. FRANCISCO MATARAZZO,12,R. DONA GERMAINE BURCHARD,B/C
2004,Lapa,05,R. CARDOSO DE ALMEIDA,12,R. DR CANDIDO ESPINHEIRA,AMBOS
2004,Lapa,05,AV. MARQ DE SAO VICENTE,12,AV. THOMAS EDISON,LA/BF
2004,Lapa,05,R. JOAQUIM MANUEL DE MACEDO,12,R. DO BOSQUE,AMBOS
2004,Lapa,05,AV. JAGUARE,12,PTE. JAGUARE,B/C
2004,Pinheiros,05,LG. LOS ANDES,12,AV. DR CHUCRI ZAIDAN,CRUZAMENTO
2004,Pinheiros,05,AV. EUSEBIO MATOSO,12,R. HENRIQUE MONTEIRO / PC. ANTONIO SABINO,C/B
2004,Pinheiros,05,MARGINAL PINHEIROS,12,AV. PRES JUSCELINO KUBITSCHEK,INT/CB  EXP
2004,Pinheiros,05,MARGINAL PINHEIROS,12,PTE. ENG ARY TORRES - 400M ANTES,INT/CB  LOCAL
2004,Mooca,05,AV. ALCANTARA MACHADO,12,VD. GUADALAJARA - 50M ANTES,C/B
2004,Mooca,05,AV. RADIAL LESTE-OESTE,12,AV. ALVARO RAMOS,C/B
2004,Mooca,05,PTE. ARICANDUVA,12,INÍCIO DO MESMO,IQ/MARG
2004,Penha,05,VEL. ARICANDUVA,12,INÍCIO DO MESMO - 50M APÓS,IQ/MARG
2004,Penha,05,AV. SAO MIGUEL,12,AV. GOV CARVALHO PINTO,C/B
2004,Cidade Ademar,05,AV. INTERLAGOS,12,R. ENG DAGOBERTO SALLES FILHO,AMBOS
2004,Capela do Socorro,05,AV. GUARAPIRANGA,12,PC. DOM FRANCISCO DE SOUZA,CRUZAMENTO
2004,Santo Amaro,05,MARGINAL PINHEIROS,12,PTE. TRANSAMERICA,INT/CB - LOCAL
2004,Santana,06,MARGINAL TIETÊ,12,PTE CRUZEIRO DO SUL - ALÇA DE SAÍDA,AS/CB  LOCAL
2004,Aricanduva/ Vila Formosa,06,AV. ARICANDUVA,12,RUA TUMUCUMAQUE,MARG/SM
2004,Aricanduva/ Vila Formosa,06,AV. ARICANDUVA,12,RUA MANILHA,MARG/SM
2004,Mooca,06,PTE. CRUZEIRO DO SUL,12,AV. CRUZEIRO DO SUL,C/B
2004,Vila Prudente,06,VD. JOSÉ COLASSUONO,12,AV. LUIS INÁCIO DE ANHAIA MELLO - ACESSO,ÚNICO
2004,Ipiranga,06,AV. PRES WILSON,12,R. PALMARES,CRUZAMENTO
2004,Ipiranga,06,R. DR. MARIO VICENTE,12,AV. RICARDO JAFET,C/B
2004,Ipiranga,06,AV. DOM PEDRO I,12,R. MARIANO PROCOPIO,C/B
2004,Ipiranga,06,AV. JUNTAS PROVISORIAS,12,AV. ALM DELAMARE,IP/VP
2004,Vila Mariana,06,AV. DR RICARDO JAFET,12,R. CEL DIOGO,STOS/SP
2004,Butantã,07,MARGINAL PINHEIROS,12,PTE. DA CIDADE JARDIM - 50M ANTES,CB/INT
2004,Butantã,07,MARGINAL PINHEIROS,12,R. BENTO FRIAS,CB/INT
2004,Pinheiros,07,AV. EUSEBIO MATOSO,12,PC. JORGE DE LIMA - 50M ANTES,C/B
2004,Pinheiros,07,TN. JORN FERNANDO VIEIRA DE MELLO,12,EMBOQUE - 100M APÓS,B/C
2004,Pinheiros,07,AV. CIDADE JARDIM,12,ALTURA DO N. 280,C/B
2004,Penha,07,ELEV. ARICANDUVA,12,INÍCIO DO MESMO,IQ/MARG
2004,Santana,08,MARGINAL TIETE,12,PTE CRUZEIRO DO SUL - SAIDA DA ALÇA,AS/CB  LOCAL
2004,Santana,08,MARGINAL TIETE,12,SAMBÓDROMO,AS/CB LOCAL
2004,Sé,08,AV. PRESTES MAIA,12,PSS. TOM JOBIM,ST/AER
2004,Sé,08,AV. PRESTES MAIA,12,R. CARLOS DE SOUSA NAZARE,AER/ST
2004,Pinheiros,08,MARGINAL PINHEIROS,12,PTE. ENG ARY TORRES - 200M ANTES,INT/CB  EXP
2004,Pinheiros,08,MARGINAL PINHEIROS,12,PTE. DO MORUMBI,INT/CB  LOCAL
2004,Mooca,08,AV. RADIAL LESTE-OESTE,12,VD ENG. ALBERTO BADRA - ACESSO,B/C
2004,Mooca,08,R. DA FIGUEIRA,12,METRO PQ DOM PEDRO,UNICO
2004,Penha,08,VD. ENG ALBERTO BADRA,12,INÍCIO DO MESMO,AMBOS
2004,M'Boi Mirim,08,PTE. JOAO DIAS,12,AV. MARIA COELHO AGUIAR,C/B
2004,Santo Amaro,08,AV. JOAO DIAS,12,PTE. JOAO DIAS,B/C
2004,Santana,09,AV. CRUZEIRO DO SUL,12,R. ALFREDO GUEDES,B/C
2004,Sé,09,R. DO BOSQUE,12,ALTURA DO N. 1489,UNICO
2004,Sé,09,AV. VINTE E TRES DE MAIO,12,VD. DR EUSEBIO STEVAUX,B/C
2004,Sé,09,R. BRIG TOBIAS,12,R. MAUA,UNICO
2004,Sé,09,R. MARIA PAULA,12,R. STO AMARO,UNICO
2004,Sé,09,R. DA FIGUEIRA,12,PQ. DOM PEDRO,UNICO
2004,Butantã,09,AV. EUSEBIO MATOSO,12,PC. JORGE DE LIMA,AMBOS
2004,Butantã,09,AV. VALDEMAR FERREIRA,12,R. CAMARGO,USP/JÓQUEI
2004,Butantã,09,AV. VITAL BRASIL,12,PC. JORGE DE LIMA,B/C
2004,Butantã,09,AV. EUSÉBIO MATOSO,12,PC. ANTONIO SABINO - 50M ANTES,C/B
2004,Butantã,09,MARGINAL PINHEIROS,12,PTE. ENG ARY TORRES,CB/INT  LOCAL
2004,Itaquera,09,AV. ARICANDUVA,12,AV. AFONSO DE SAMPAIO E SOUZA,SMT/MARG
2004,Mooca,09,R. DA FIGUEIRA,12,METRÔ DOM PEDRO,ÚNICO
2004,Mooca,09,R. BR DE IGUAPE,12,R. CONS FURTADO,CRUZAMENTO
